STN,WBAN,Temp,DewP,Count_DewP,SLP,Count_SLP,STP,Count_STP,Visib,Count_Visib,WDSP,Count_WDSP,MXSDP,Gust,SNDP,FRSHIFT
690190,56954.5,83.33148611,63.49666667,23.83333333,1010.453333,23.6,5474.578333,10.45,9.938333333,23.83333333,12.495,23.83333333,22.67333333,95.93333333,999.9,12002.33333
720110,76991,85.68476326,70.23863636,23.56818182,9999.9,0,5486.840909,11.56818182,9.972727273,23.56818182,8.015909091,23.56818182,15.22727273,21.82727273,999.9,0
720151,51524,79.7603125,50.22833333,23.98333333,9999.9,0,5434.001667,11.16666667,9.906666667,23.98333333,7.94,23.98333333,18.15666667,73.71166667,999.9,0.166666667
720261,76987.5,82.08184028,64.76666667,23.98333333,9999.9,0,5491.155,11.25,9.903333333,23.98333333,8.328333333,23.98333333,15.61166667,104.27,999.9,1667.166667
720269,56490.5,86.20661806,69.89666667,23.98333333,9999.9,0,5504.268333,11.7,9.411666667,23.98333333,8.826666667,23.98333333,17.29666667,24.135,999.9,0
720271,51521.5,83.03505556,56.05833333,23.95,9999.9,0,5461.726667,11.41666667,9.818333333,23.95,12.555,23.95,22.01333333,45.45333333,999.9,0
720273,56490,82.2926875,72.04833333,23.98333333,9999.9,0,5506.375,11.08333333,9.431666667,23.98333333,6.98,23.98333333,15.70666667,103.4566667,999.9,3166.666667
720276,56491,85.28086806,68.915,23.96666667,9999.9,0,5504.856667,9.416666667,7.42,23.95,10.00666667,23.96666667,19.38333333,41.45333333,999.9,1166.666667
720281,76984,84.77245139,61.55166667,23.58333333,9999.9,0,5483.098333,11.18333333,9.91,23.31666667,11.86333333,23.58333333,22.22333333,93.05,999.9,0.5
720286,76988,85.66829861,62.54333333,23.98333333,9999.9,0,5492.545,11.5,9.99,23.98333333,9.248333333,23.98333333,16.92,106.4033333,999.9,666.8333333
720287,76983,80.92609722,64.70833333,23.98333333,9999.9,0,5493.191667,10.81666667,9.516666667,23.98333333,10.72833333,23.98333333,17.92,105.4783333,999.9,1166.833333
720291,76984.5,80.46546528,68.86,23.98333333,9999.9,0,5498.635,11.66666667,9.816666667,23.98333333,7.376666667,23.98333333,15.13,251.56,999.9,0
720295,76985.5,83.16728472,66.15666667,23.98333333,9999.9,0,5494.321667,11.26666667,9.83,23.98333333,9.378333333,23.98333333,16.13,121.1216667,999.9,1000
720296,76972,82.52555921,73.04210526,23.5,9999.9,0,5503.368421,10.05263158,8.955263158,23.5,2.942105263,23.5,9.089473684,380.0894737,999.9,2105.263158
720298,76985,80.96090972,68.35833333,22.75,9999.9,0,5495.36,10.3,9.618333333,22.68333333,5.915,22.75,11.94333333,247.7283333,999.9,1500.333333
720299,76982.5,81.07597222,65.82666667,23.98333333,9999.9,0,5493.833333,11.05,9.583333333,23.98333333,8.998333333,23.98333333,16.07333333,88.585,999.9,2166.666667
720302,76981,79.46838194,67.70333333,23.98333333,9999.9,0,5499.14,11.66666667,9.555,23.98333333,4.865,23.98333333,11.52,346.9633333,999.9,0
720303,76986,82.97507639,66.29166667,23.98333333,9999.9,0,5501.765,11.41666667,9.755,23.98333333,7.096666667,23.98333333,14.61333333,200.8733333,999.9,1000.166667
720305,76981.5,81.61349306,62.94666667,23.98333333,9999.9,0,5487.76,11.26666667,9.733333333,23.98333333,10.125,23.98333333,16.82833333,105.3583333,999.9,1666.666667
720311,76980.5,79.73386806,69.885,23.98333333,9999.9,0,5500.766667,11.66666667,9.405,23.98333333,5.793333333,23.98333333,14.18666667,283.23,999.9,0
720314,96991,82.59392361,67.25333333,23.98333333,9999.9,0,5499.796667,11.31666667,9.751666667,23.98333333,5.88,23.98333333,12.75333333,150.32,999.9,1166.666667
720315,51522,78.77295833,52.87666667,23.98333333,9999.9,0,5455.338333,11.68333333,9.78,23.98333333,12.43666667,23.98333333,24.79666667,32.42666667,999.9,0
720316,56491.5,81.0306875,69.14833333,23.95,9999.9,0,5505.256667,11.25,9.578333333,23.95,9.3,23.95,17.43666667,23.76666667,999.9,1166.666667
720318,76982,83.55266667,63.04166667,23.98333333,9999.9,0,5485.885,11.31666667,9.911666667,23.98333333,6.631666667,23.98333333,13.09333333,103.18,999.9,1166.666667
720320,76990,84.09084028,68.085,23.98333333,9999.9,0,5491.54,10.5,9.723333333,23.98333333,10.19666667,23.98333333,18.06333333,89.125,999.9,3000
720323,96973,80.4138,64.112,23.82,9999.9,0,5477.066,11.58,9.944,23.82,8.852,23.82,16.036,22.184,999.9,0
720391,99999,85.62608333,70.89,22.5,9999.9,0,9999.9,0,9.64,23.3,9.383333333,23.3,17.97333333,24.46333333,999.9,11667.33333
720393,99999,76.77927778,48.38666667,23.3,9999.9,0,9999.9,0,9.816666667,23.3,11.59,23.3,23.71666667,32.13,999.9,7336.333333
720395,99999,86.3595,68.75666667,23.3,9999.9,0,9999.9,0,9.9,23.3,7.943333333,23.3,15.17666667,22.84,999.9,1001
720404,99999,84.87058333,60.38,23.26666667,9999.9,0,9999.9,0,9.953333333,23.26666667,10.98333333,23.26666667,19.98333333,60.01666667,999.9,2669
722008,56497,84.98179167,76.04,23.95,9999.9,0,5656.916667,10.06666667,569.8833333,9.633333333,11.42333333,23.95,15.92333333,102.3783333,999.9,166.6666667
722042,76988.5,81.45895833,72.05666667,23.98333333,9999.9,0,5499.373333,10.51666667,9.27,23.98333333,4.745,23.98333333,10.96666667,346.3466667,999.9,3000.166667
722094,76991.5,84.43761806,66.65333333,23.46666667,9999.9,0,5495.975,10.83333333,9.973333333,23.45,9.176666667,23.46666667,16.10666667,89.31,999.9,333.5
722107,51527.5,83.1090253,51.10892857,23.375,9999.9,0,5449.544643,10.89285714,9.832142857,23.375,9.619642857,23.375,20.06785714,62.58571429,999.9,2500
722112,76990.5,81.61597222,71.46666667,23.98333333,9999.9,0,5499.936667,10.28333333,9.293333333,23.85,5.256666667,23.98333333,12.86333333,331.05,999.9,4167
722122,51524.5,85.30499167,60.018,22.2,9999.9,0,5644.764,10.26,9.868,22.16,12.224,22.16,22.578,146.036,999.9,2000
722143,76987,82.23353472,67.46333333,23.98333333,9999.9,0,5497.981667,6.5,9.846666667,23.98333333,7.836666667,23.98333333,15.03666667,87.51833333,999.9,3666.833333
722159,56489.5,88.05409722,71.82333333,23.95,9999.9,0,5505.02,11.05,8.108333333,23.95,9.358333333,23.95,17,24.05833333,999.9,1000
722169,51528.5,84.98215972,49.12333333,23.98333333,9999.9,0,5460.088333,11.2,9.876666667,23.98333333,8.77,23.98333333,21.53,28.29166667,999.9,1500
722174,61548,78.52941667,52.845,23.98333333,9999.9,0,5448.253333,10.98333333,9.746666667,23.98333333,11.47166667,23.98333333,23.10666667,78.72333333,999.9,2500
722192,61516,85.49136806,62.96833333,23.98333333,9999.9,0,5464.925,11.45,9.91,23.98333333,12.01,23.98333333,21.15,60.38833333,999.9,0.166666667
722202,56492,86.3401875,66.715,23.98333333,9999.9,0,5489.635,11.55,9.98,23.98333333,9.54,23.98333333,17.05833333,40.13166667,999.9,833.3333333
722209,56492.5,85.58868056,72.33333333,23.98333333,9999.9,0,5506.49,11.55,9.88,23.98333333,8.231666667,23.98333333,16.21166667,21.76833333,999.9,1666.666667
722214,51534.5,80.46650694,46.81666667,23.93333333,9999.9,0,5442.841667,11.36666667,9.88,23.95,12.11666667,23.95,25.31,48.86333333,999.9,1500
722231,99999,82.44566667,62.67333333,23.3,9999.9,0,9999.9,0,9.96,23.3,10.21666667,23.3,18.15333333,58.31333333,999.9,2001
722323,99999,84.57352778,66.81666667,23.96666667,9999.9,0,9999.9,0,9.903333333,23.96666667,7.2,23.96666667,14.67666667,120.28,999.9,4334
722324,51535,85.59229861,52.44666667,23.98333333,9999.9,0,5457.641667,11.03333333,9.823333333,23.98333333,10.98333333,23.98333333,21.105,125.2316667,999.9,2500
722338,56496.5,85.49765972,63.77333333,23.98333333,9999.9,0,5494.576667,11.45,9.673333333,23.98333333,10.83,23.98333333,19.82333333,27.02166667,999.9,1166.666667
722351,56476,83.70159028,70.405,23.98333333,9999.9,0,5505.453333,10.81666667,9.295,23.98333333,6.198333333,23.98333333,15.5,136.15,999.9,2500.166667
722362,96968,80.73795139,67.59166667,23.98333333,9999.9,0,5498.445,11.11666667,9.658333333,23.98333333,7.925,23.98333333,15.32,349.435,999.9,3167
722363,61548.5,81.90464583,63.795,23.95,9999.9,0,5466.385,11.21666667,9.405,23.95,11.20666667,23.95,17.56,24.38833333,999.9,666.6666667
722369,99999,84.94798611,72.89,23.3,9999.9,0,9999.9,0,9.96,23.3,10.34333333,23.3,17.42333333,23.55666667,999.9,1000.333333
722410,12917,82.79598611,72.66,23.83333333,1015.036667,21.66666667,1014.593333,21.66666667,9.49,23.83333333,6.923333333,23.83333333,14.74666667,445.4,999.9,1067.333333
722416,12971,86.48425,66.55666667,24,1012.536667,21.5,990.2366667,23.76666667,9.946666667,24,10.21333333,24,17.64666667,89.77333333,999.9,0
722420,12923,84.86294444,73.88666667,24,1015.233333,21.66666667,1014.943333,22.83333333,9.876666667,24,10.68333333,24,15.72,445.8566667,999.9,0
722427,56487,82.77197917,71.57833333,23.28333333,1015.111667,22.46666667,5506.798333,11.3,9.661666667,23.28333333,5.513333333,23.28333333,14.23166667,184.395,999.9,5500
722429,76954.5,82.97577083,69.88833333,23.86666667,1014.315,21.63333333,5504.498333,11.16666667,9.58,23.86666667,5.131666667,23.86666667,13.96,267.0133333,999.9,7001.5
722430,12960,84.59734722,70.45333333,24,1014.533333,23.23333333,1010.843333,23.5,9.933333333,24,7.506666667,24,16.71333333,380.3166667,999.9,666.6666667
722435,12918,84.39852778,71.58,24,1014.97,22.1,1012.96,22.56666667,9.69,24,6.186666667,24,15.34666667,249.08,999.9,0
722436,56452.5,83.62181327,72.5537037,8.240740741,9999.9,0,5673.294444,3.777777778,9.831481481,8.240740741,6.37962963,8.240740741,11.43333333,673.4166667,999.9,1667.592593
722444,76950.5,82.20920833,70.12666667,23.9,1014.191667,21.48333333,5502.761667,10.65,9.286666667,23.9,5.746666667,23.86666667,14.08666667,330.765,999.9,5335.833333
722445,3904,85.81993056,69.14666667,24,1013.623333,21.7,1002.333333,23.7,9.993333333,24,8.736666667,24,15.95666667,250.9,999.9,0
722446,93987,81.96665278,68.98,23.93333333,1014.473333,21.23333333,1003.543333,21.23333333,9.343333333,23.93333333,5.713333333,23.93333333,12.77666667,674.0133333,999.9,0
722447,76951,84.09995139,69.62,23.86666667,1014.211667,21.15,5500.658333,10.96666667,9.503333333,23.86666667,5.451666667,23.86666667,11.32333333,296.8716667,999.9,6668.833333
722448,13972,81.96875,68.02,23.96666667,1014.196667,21.3,995.0133333,22.43333333,9.64,23.96666667,8.523333333,23.96666667,15.48,446.1166667,999.9,0
722469,76955.5,83.12797917,68.57166667,23.83333333,1013.068333,22.05,5498.701667,11.48333333,9.605,23.83333333,9.186666667,23.8,16.05833333,137.5066667,999.9,1167.666667
722470,3901,81.21047222,67.77333333,24,1014.056667,21.56666667,1001.226667,22.16666667,9.79,24,7.34,24,14.12666667,445.86,999.9,0
722479,76953,83.847875,66.04833333,23.78333333,1012.333333,22.28333333,5495.235,11.51666667,9.966666667,23.78333333,10.73666667,23.78333333,17.725,123.8316667,999.9,1334.166667
722489,76955,82.58966667,68.51833333,23.86666667,1013.2,21.9,5498.316667,11.5,9.871666667,23.86666667,8.638333333,23.86666667,15.22166667,268.1616667,999.9,1000.833333
722499,76973.5,82.01955247,71.64074074,23.62962963,9999.9,0,5501.214815,11.09259259,9.662962963,23.62962963,5.601851852,23.62962963,12.63703704,311.1740741,999.9,0
722500,12919,85.25815278,72.71666667,24,1013.37,22.8,1012.75,23.56666667,9.913333333,24,10.38333333,24,17.6,88.46333333,999.9,0
722505,12904,84.892875,71.72666667,24,1012.856667,22.46666667,1011.626667,23.13333333,9.763333333,24,10.74333333,24,18.34,24.34,999.9,0
722506,12959,87.45540278,70.41666667,24,1012.603333,22.3,1008.82,23.86666667,9.893333333,24,11.92,24,19.72,25.53333333,999.9,0
722510,12924,82.96222222,73.66333333,24,1013.403333,23.06666667,1012.006667,23.7,9.8,24,9.843333333,24,17.46333333,56.30333333,999.9,666.6666667
722515,12926,84.17434722,73.93333333,24,1013.663333,22.93333333,1013.063333,23.03333333,9.523333333,24,12.39,24,18.16666667,56.65333333,999.9,333.6666667
722516,12928,85.65665278,71.63333333,24,1012.883333,21.96666667,1011.11,21.43333333,8.946666667,24,11.68333333,24,19.30666667,25.51333333,999.9,333.6666667
722517,12932,86.25333333,70.82333333,24,1012.736667,21.6,1006.51,22.93333333,9.703333333,24,10.04333333,24,18.73666667,57.80333333,999.9,0
722520,99999,91.49040278,68.80666667,23.83333333,1011.486667,23.2,9999.9,0,9.89,23.83333333,13.05666667,23.83333333,19.53333333,123.9733333,999.9,333.3333333
722523,12970,86.78440278,66.38666667,24,1012.04,21.1,992.57,23.86666667,9.95,24,8.933333333,24,15.62666667,217.5466667,999.9,0
722524,56485.5,83.81434028,74.13,22.75,1013.813333,19.6,5506.448333,11.56666667,9.855,23.4,9.753333333,23.4,15.29333333,21.79666667,999.9,1500.5
722526,12947,87.26729167,68.29333333,24,1011.62,22.53333333,995.2066667,23.83333333,9.943333333,24,9.156666667,24,16.85666667,57.02333333,999.9,0
722527,56487.5,83.29238889,72.94,23.7,1014.716667,21.83333333,5506.946667,10.9,9.5,23.86666667,7.263333333,23.86666667,15.65666667,201.4533333,999.9,4501.666667
722530,12921,86.42973611,66.91666667,24,1012.08,23.16666667,984.8933333,23.96666667,9.993333333,24,11.22,24,17.96333333,185.9233333,999.9,0
722533,12962,85.03490278,66.27666667,23.9,1312.01,18.43333333,1281.373333,20.46666667,10,23.9,9.936666667,23.86666667,18.07,220.5066667,999.9,0
722535,56454,86.61394444,67.785,23.78333333,1012.525,22.8,5494.191667,10.78333333,9.973333333,23.78333333,10.34166667,23.78333333,17.85,73.31,999.9,2666.833333
722536,56455,85.35135776,67.56034483,23.01724138,1012.894828,22.20689655,5493.143103,10.56896552,9.920689655,23.01724138,9.870689655,23.01724138,16.51551724,124.1689655,999.9,2758.793103
722537,56480,83.04595139,62.71333333,23.98333333,9999.9,0,5478.438333,11.46666667,9.91,23.98333333,9.64,23.98333333,16.22333333,39.02333333,999.9,833.3333333
722539,56489,87.40042361,67.50166667,23.98333333,9999.9,0,5496.351667,11.66666667,9.963333333,23.98333333,10.86833333,23.98333333,19.39,25.49,999.9,0
722540,13904,85.60143056,66.95,24,1012.236667,21.8,995.63,23.6,9.95,24,9.596666667,24,17.24333333,219.3366667,999.9,333.3333333
722541,76956.5,81.88945833,68.2,23.86666667,1013.011667,22.43333333,5496.191667,11.26666667,9.81,23.86666667,8.841666667,23.86666667,15.83333333,219.84,999.9,1334.666667
722542,51999,84.27683333,64.69333333,23.83333333,1012.881667,22.66666667,9999.9,0,9.82,23.83333333,8.95,23.83333333,14.71666667,86.84666667,999.9,1333.666667
722543,56488,85.22600694,71.24666667,23.85,1015.156667,23.11666667,5505.701667,11.7,9.91,23.85,7.55,23.81666667,16.80333333,186.2,999.9,1666.666667
722544,13958,87.88670833,65.43666667,23.96666667,1012.4,21.5,990.15,23.43333333,9.953333333,23.96666667,5.973333333,23.96666667,10.75,118.7633333,999.9,0
722547,76970.5,85.12917361,66.48,23.01666667,9999.9,0,5492.823333,10.48333333,9.975,22.98333333,9.355,22.96666667,15.52666667,54.57,999.9,333.5
722550,12912,84.49276389,70.90333333,24,1013.89,23.33333333,1009.846667,23.36666667,9.846666667,24,9.623333333,24,18.72333333,154.7166667,999.9,3333.666667
722552,96964,82.27452083,69.13,23.98333333,9999.9,0,5491.7,11.71666667,9.82,23.98333333,9.97,23.98333333,18.34666667,123.365,999.9,0
722553,76963.5,84.2918125,66.31,23.95,9999.9,0,5501.52,10.88333333,9.341666667,23.95,6.54,23.95,14.46,119.245,999.9,3166.833333
722554,56488.5,84.96179861,68.49333333,23.58333333,9999.9,0,5500.791667,10.88333333,9.435,23.58333333,6.475,23.58333333,14.12,53.84833333,999.9,1166.666667
722555,12935,84.47109722,73.65666667,24,1014.336667,23.43333333,1013.823333,23.43333333,9.946666667,24,10.75666667,23.93333333,16.09333333,282.86,999.9,0
722560,13959,84.690375,66.29,23.96666667,1012.713333,22.8,995.0833333,23.8,9.996666667,23.96666667,11.34333333,20.13333333,18.01,156.2833333,999.9,333.3333333
722563,76975.5,84.74823611,66.95666667,23.78333333,9999.9,0,5496.021667,11.36666667,9.995,23.78333333,10.66,23.61666667,18.68666667,25.835,999.9,0
722570,50044.68,85.10784167,61.256,22.24,1013.36,21.18,5310.876,12.12,9.974,22.42,8.952,22.42,14.332,100.888,999.9,400.4
722575,51985.5,84.84199405,66.05178571,23.23214286,9999.9,0,5491.8375,11.17857143,9.992857143,23.23214286,10.92678571,23.23214286,18.04285714,25.09285714,999.9,0
722576,51950.5,114.6544444,63.855,23.41666667,1011.676667,22.81666667,5488.503333,11.56666667,7.043333333,23.73333333,10.83833333,23.71666667,16.875,187.1883333,999.9,833.8333333
722577,96991.5,83.97,65.5,23.98333333,9999.9,0,5494.498333,11.56666667,9.963333333,23.98333333,11.615,23.98333333,18.55333333,73.42166667,999.9,0.5
722583,13960,84.65420833,66.47666667,24,1012.5,22.7,995.6033333,23.16666667,9.98,24,11.25333333,24,18.32333333,284.6033333,999.9,0
722587,96977,79.95978472,69.64666667,23.98333333,9999.9,0,5497.251667,11.38333333,9.85,23.98333333,9.175,23.98333333,17.825,202.58,999.9,0
722588,56962.5,81.19279861,69.97,23.98333333,9999.9,0,5497.276667,11,9.716666667,23.98333333,7.946666667,23.98333333,14.86333333,152.2233333,999.9,1833.5
722589,51995,83.79132639,66.52666667,23.7,1012.16,22.75,5494.898333,11.41666667,9.716666667,23.5,10.32833333,23.6,17.99333333,156.0116667,999.9,3000.666667
722590,3927,86.62173611,66.20666667,24,1011.963333,23.56666667,991.46,23.6,9.97,24,12.09,24,19.47666667,155.2133333,999.9,1667.666667
722593,51992,82.996,64.72666667,23.86666667,9999.9,0,5494.165,10.78333333,12.71666667,23.86666667,9.096666667,23.86666667,16.75166667,186.9983333,999.9,666.8333333
722594,76954,85.15038889,64.34666667,23.88333333,1011.248333,23.13333333,5493.363333,11.7,9.86,23.88333333,9.431666667,23.88333333,16.87166667,140.15,999.9,834
722595,13911,85.90975,65.61666667,24,1012.713333,22.93333333,990.8633333,22.93333333,9.93,24,11.46666667,24,19.22666667,158.3833333,999.9,334
