STN,WBAN,Temp,DewP,Count_DewP,SLP,Count_SLP,STP,Count_STP,Visib,Count_Visib,WDSP,Count_WDSP,MXSDP,Gust,SNDP,FRSHIFT
690190,13910,82.64584722,62.91333333,22.2,1309.25,21.76666667,948.3,20.93333333,9.85,22.2,9.95,22.2,19.86333333,221.44,999.9,0
720110,76991,84.06198611,65.155,23.93333333,9999.9,0,5486.68,11.26666667,9.896666667,23.93333333,5.941666667,23.93333333,13.35666667,100.665,999.9,667.1666667
720151,3049,76.34761494,53.79655172,23.51724138,9999.9,0,867.5793103,22.06896552,9.903448276,23.51724138,6.324137931,23.51724138,15.77586207,157.3344828,999.9,0
720261,53976,81.9065,65.35333333,24,9999.9,0,981.14,22.06666667,9.816666667,24,6.116666667,24,13.53333333,248.6566667,999.9,0
720269,12982,87.91681944,70.81,23.33333333,9999.9,0,1006.723333,22.1,8.233333333,23.3,7.36,23.33333333,14.96333333,53.64666667,999.9,0
720271,3044,81.88755556,57.55,23.93333333,9999.9,0,923.04,22.53333333,9.916666667,23.86666667,9.133333333,23.93333333,19.29,188.2166667,999.9,0
720273,12981,84.00201389,73.59666667,24,9999.9,0,1010.583333,19.6,8.283333333,24,6.466666667,24,13.74666667,19.06,999.9,3666.666667
720276,12983,87.25645833,71.95,23.93333333,9999.9,0,1007.986667,21.33333333,240.26,17.26666667,8.446666667,23.93333333,17.2,87.24,999.9,0.333333333
720281,53969,82.93725,63.95666667,24,9999.9,0,965.7466667,22.23333333,9.713333333,24,7.846666667,24,17.06666667,218.5766667,999.9,0
720286,53977,84.33309722,65.23666667,24,9999.9,0,983.83,22.5,9.85,24,6.776666667,24,15.04333333,314.1333333,999.9,333.6666667
720287,53967,82.19656944,66.66,24,9999.9,0,984.8866667,22.33333333,9.876666667,24,8.053333333,24,15.13333333,249.7,999.9,0
720291,53970,81.35066092,67.0862069,23.44827586,9999.9,0,995.7482759,22.5862069,9.94137931,23.44827586,6.272413793,23.44827586,12.43793103,290.0896552,999.9,0
720295,53972,84.24281944,64.66333333,24,9999.9,0,987.0833333,22.9,9.916666667,24,8.726666667,24,15.3,151.4966667,999.9,0
720296,53945,80.96394444,69.3,24,9999.9,0,1005.666667,19.76666667,8.613333333,24,3.346666667,24,10.35,410.6,999.9,666.6666667
720298,53971,82.02234722,67.62,22.66666667,9999.9,0,1289.09,20.9,9.603333333,22.66666667,4.823333333,22.66666667,9.496666667,442.7433333,999.9,0
720299,53966,81.715875,64.98,23.93333333,9999.9,0,986.1333333,22.76666667,9.83,24,6.656666667,24,14.07333333,283.2733333,999.9,0
720302,53963,82.10177778,67.89666667,24,9999.9,0,996.1833333,23.16666667,9.726666667,24,3.506666667,24,9.28,443.5666667,999.9,0
720303,53973,82.41906944,63.03,22.66666667,9999.9,0,1001.503333,21.2,9.363333333,22.66666667,6.35,22.66666667,12.72,215.7166667,999.9,0
720305,53964,81.79152778,63.14666667,23.76666667,9999.9,0,974.25,22.36666667,9.833333333,23.76666667,7.67,23.76666667,14.60666667,151.2833333,999.9,0
720311,53962,80.65840278,69.85,24,9999.9,0,999.3666667,23.03333333,9.413333333,24,3.826666667,24,10.83666667,311.95,999.9,0
720314,93983,82.50915278,65.07666667,23.76666667,9999.9,0,997.5066667,22.46666667,9.786666667,23.76666667,4.69,23.76666667,10.68333333,279.5033333,999.9,333.3333333
720315,3045,76.85983333,55.32666667,24,9999.9,0,910.6833333,23.13333333,9.736666667,24,10.29,24,19.37333333,26.66,999.9,0
720316,12984,84.90907407,71.54444444,21.44444444,9999.9,0,1008.455556,20.22222222,9.4,21.33333333,9.016666667,21.44444444,17.18888889,76.26666667,999.9,0
720318,53965,84.27393056,63.64666667,23.76666667,9999.9,0,970.7433333,22.43333333,9.903333333,23.76666667,6.28,23.76666667,13.93,85.64333333,999.9,0
720320,53981,84.00441667,67.1,23.96666667,9999.9,0,981.6333333,21.8,9.903333333,23.96666667,7.963333333,23.96666667,14.76666667,281.5166667,999.9,0
720323,93947,80.33627778,63.36666667,24,9999.9,0,953.3066667,23.2,9.92,24,7.306666667,24,14.3,119.3766667,999.9,0
720391,99999,85.02804167,70.02,22,9999.9,0,9999.9,0,9.61,23.9,8.193333333,23.9,16.18666667,55.08,999.9,11667.66667
720393,99999,75.89093056,54.19333333,23.86666667,9999.9,0,9999.9,0,9.593333333,23.9,9.066666667,23.9,20.67333333,30.17,999.9,15670
720395,99999,85.01672222,64.97666667,23.5,9999.9,0,9999.9,0,9.9,23.9,6.8,23.9,13.91,54.42333333,999.9,667
720404,99999,83.70911111,64.93,23.9,9999.9,0,9999.9,0,9.906666667,23.9,7.84,23.9,16.36666667,55.47333333,999.9,3002.666667
722008,12995,84.34802778,76.26333333,23.96666667,9999.9,0,1012.493333,21.86666667,8.93,23.96666667,76.04,21.93333333,79.91,280.2033333,999.9,0
722042,53978,82.35897222,70.95,23.5,9999.9,0,996.6733333,21.83333333,9.633333333,23.5,3.36,23.5,9.72,409.8833333,999.9,0
