STN,WBAN,Temp,DewP,Count_DewP,SLP,Count_SLP,STP,Count_STP,Visib,Count_Visib,WDSP,Count_WDSP,MXSDP,Gust,SNDP,FRSHIFT
722143,53975,82.99894444,71.54333333,24,9999.9,0,995.1766667,23.96666667,9.546666667,24,5.83,24,12.54333333,52.35666667,999.9,2668.333333
722159,12980,86.17676389,74.39333333,23.96666667,9999.9,0,1009.016667,23.93333333,6.506666667,23.86666667,8.283333333,23.96666667,17.30666667,23.74333333,999.9,10001.33333
722169,3058,86.73747222,56.96,23.23333333,9999.9,0,920.6033333,23.2,9.913333333,23.23333333,7.77,23.23333333,19.01,58.06,999.9,2335
722174,23097,79.15066667,61.57333333,24,9999.9,0,897.23,23.9,9.82,24,9.893333333,23.96666667,20.58333333,27.87,999.9,3335.666667
722192,23033,83.20608333,64.47,24,9999.9,0,930.29,23.96666667,9.806666667,24,10.76666667,24,17.9,23.75,999.9,1001
722202,12985,85.27401389,70.21,22.53333333,9999.9,0,979.1333333,22.5,9.323333333,22.4,8.376666667,22.53333333,15.51333333,21.61,999.9,5667.333333
722209,12986,81.74859722,72.93,24,9999.9,0,1012.08,23.9,9.226666667,24,7.016666667,24,14.66666667,52.74333333,999.9,7000
722214,3070,79.05905556,57.82666667,24,9999.9,0,886.6333333,23.96666667,9.833333333,24,10.76333333,24,20.94333333,29.26,999.9,3666.666667
722231,99999,84.46329167,68.31333333,24,9999.9,0,9999.9,0,9.626666667,24,8.74,24,15.44666667,54.7,999.9,2334.333333
722323,99999,83.73459936,70.64615385,22.96153846,9999.9,0,9999.9,0,9.242307692,22.96153846,5.111538462,22.96153846,11.8,169.7884615,999.9,1538.461538
722324,3071,85.65870833,61.25333333,24,9999.9,0,915.64,23.96666667,9.78,24,9.47,24,17.76,57.38333333,999.9,3336
722338,12994,85.03905556,72.36333333,23.93333333,9999.9,0,988.65,23.86666667,8.893333333,23.93333333,8.976666667,23.93333333,16.20333333,55.12333333,999.9,26334
722351,12953,85.39894444,74.93,23.83333333,9999.9,0,1010.06,23.76666667,8.51,23.83333333,5.083333333,23.83333333,12.99666667,247.5033333,999.9,13335.66667
